whole.body	background	ASE	Serotonergic	Dopaminergic	Glutamatergic	Ciliated.sensory	GABAergic	mechanosensory	unc.86.expressing	pharyngeal	cholinergic	ceh.14.expressing	unc.42.expressing	unc.3.expressing	Pan
mir-236	311097.901999092	264.288813665502	93.3562383249179	68.7630850819055	522.320044702356	3007.72483948892	461.13769072695	855.414480313157	252.621229338486	175.534757687661	147.916528111279	3616.99489533346	219.354016219102	74.8680321749057	257.578229200302	10111.5031628526
mir-238	124410.172230705	2207.27298375588	1887.75866941142	1233.96753861915	3664.40223073734	11052.2946390781	1227.36683819444	3532.2147973265	609.006109335362	597.49149447721	1302.02919038105	14877.7947613298	1880.25549965506	1024.18298787455	785.32684685832	20927.5273035486
mir-239a	247265.834752563	1297.21476140645	1179.12318907914	1221.56171821906	3192.65136280388	7764.72506026262	1870.01895645578	2785.72038813977	980.325746179151	1633.60323031752	1455.27512916506	14379.4002768685	1736.74087918212	1084.29527103293	1429.49272387837	20435.5820352516
mir-239b	20914.7271411073	32.5272767809454	28.0524351715671	26.1911703570204	142.371031619101	777.607733574175	129.056001704353	185.309181705157	50.1190038815172	133.858523321346	52.2164062531182	1560.76112725058	138.282984170744	34.7916727739072	183.402151133133	1549.65140019757
mir-242	11702.9309752271	7.60879823604265	3.40790059594979	2.49289052679683	6.20572735059606	19.6193022778976	9.95023041213721	13.2987834132465	10.1988068363209	6.39014236706453	3.58140780836238	36.2039316564339	5.7801215811214	4.05329788002619	3.03078430376488	17.3072872612085
mir-243	2942.34613487947	18.0018446666455	12.5174412091545	17.2952011791144	466.87245748257	1123.96082943145	56.823779069833	497.545354375658	71.0192591487619	33.4689407229274	131.007834079378	1424.12791830719	232.74950052658	9.59446278472731	197.28085251322	1855.40967798035
mir-244	161316.425682093	364.527904653673	183.37507649341	128.430980608318	210.028318294395	247.12527015963	184.56784493346	224.013854349635	167.803853675295	120.998046818422	107.467907734458	1353.925026666	192.917644639322	96.4219790810891	132.638612962735	642.560158544235
mir-245	14016.0380969374	11.3745159330708	5.22635195577085	3.86718142021992	8.59873580247738	248.845390567762	27.3296070896775	30.29644667148	7.01070186577241	7.2574314526216	4.1454966354303	609.822287443461	6.19981995047162	57.4925354332341	4.7454052616235	2056.90716844385
mir-246	101.97566821636	0.305160801324131	0.235792757806719	0.0552161869100305	0.12753670964085	0.927057080333907	0.446744040625579	0.0229769102444334	0.0280252032645473	0.118431167055684	0.194745859485272	1.33513377029232	0.331059937696113	0.0346899460618444	0.0457358850470801	1.47436327200837
mir-247	204.276807103909	0.100845851173159	0.0138467207643482	0.0111438120182933	0.0206327947060976	0.108942539720211	0.0171035526758705	0.286049574655141	0.0307586037735591	0.229999236968683	0.0136242938800347	0.0181493612557991	0.0429659422939836	0.110451614406713	0.0583844496104184	0.0293991361455729
